time,open,high,low,close,tick_volume,spread,real_volume
2026-06-16 18:58:00+00:00,1.16173,1.16176,1.16151,1.16155,154,13,0
2026-06-16 18:59:00+00:00,1.16154,1.16157,1.16134,1.16136,131,13,0
2026-06-16 19:00:00+00:00,1.16136,1.16145,1.16131,1.16144,123,13,0
2026-06-16 19:01:00+00:00,1.16143,1.1615,1.16137,1.16137,123,13,0
2026-06-16 19:02:00+00:00,1.16137,1.16144,1.16134,1.16137,113,13,0
2026-06-16 19:03:00+00:00,1.16137,1.16145,1.16134,1.16143,91,13,0
2026-06-16 19:04:00+00:00,1.16143,1.16143,1.16119,1.16123,98,13,0
2026-06-16 19:05:00+00:00,1.16123,1.1614200000000001,1.16123,1.16134,106,13,0
2026-06-16 19:06:00+00:00,1.16135,1.16149,1.16127,1.16148,123,13,0
2026-06-16 19:07:00+00:00,1.16148,1.16163,1.16146,1.16161,104,13,0
2026-06-16 19:08:00+00:00,1.1616,1.1616900000000001,1.16154,1.16159,104,13,0
2026-06-16 19:09:00+00:00,1.16159,1.16163,1.16155,1.16155,64,13,0
2026-06-16 19:10:00+00:00,1.16155,1.16166,1.16153,1.16161,80,13,0
2026-06-16 19:11:00+00:00,1.16159,1.16162,1.1615199999999999,1.16156,106,13,0
2026-06-16 19:12:00+00:00,1.16156,1.16158,1.1615199999999999,1.16154,60,13,0
2026-06-16 19:13:00+00:00,1.16154,1.16167,1.16147,1.16167,83,13,0
2026-06-16 19:14:00+00:00,1.16166,1.16176,1.16156,1.16167,82,13,0
2026-06-16 19:15:00+00:00,1.16165,1.16172,1.16162,1.16166,72,13,0
2026-06-16 19:16:00+00:00,1.16166,1.16172,1.16163,1.16172,73,13,0
2026-06-16 19:17:00+00:00,1.16171,1.16178,1.16162,1.16167,77,13,0
2026-06-16 19:18:00+00:00,1.16167,1.1618,1.16162,1.1617899999999999,113,13,0
2026-06-16 19:19:00+00:00,1.16178,1.16189,1.16172,1.16187,70,13,0
2026-06-16 19:20:00+00:00,1.16187,1.16188,1.16174,1.16177,77,13,0
2026-06-16 19:21:00+00:00,1.16177,1.16185,1.16177,1.16178,85,13,0
2026-06-16 19:22:00+00:00,1.16178,1.16192,1.16177,1.16178,99,13,0
2026-06-16 19:23:00+00:00,1.16177,1.16177,1.16156,1.16157,94,13,0
2026-06-16 19:24:00+00:00,1.16157,1.16162,1.16156,1.16156,41,13,0
2026-06-16 19:25:00+00:00,1.16156,1.16162,1.1615,1.16162,69,13,0
2026-06-16 19:26:00+00:00,1.16162,1.16178,1.16162,1.16178,76,13,0
2026-06-16 19:27:00+00:00,1.16177,1.16177,1.16163,1.16165,59,13,0
2026-06-16 19:28:00+00:00,1.16165,1.16165,1.16158,1.16163,78,13,0
2026-06-16 19:29:00+00:00,1.16163,1.16165,1.16156,1.16163,100,13,0
2026-06-16 19:30:00+00:00,1.16163,1.16168,1.16158,1.16167,85,13,0
2026-06-16 19:31:00+00:00,1.16167,1.1616900000000001,1.16161,1.16167,88,13,0
2026-06-16 19:32:00+00:00,1.16168,1.16171,1.16156,1.16162,66,13,0
2026-06-16 19:33:00+00:00,1.16161,1.16163,1.16157,1.16162,41,13,0
2026-06-16 19:34:00+00:00,1.16162,1.16168,1.16147,1.16147,73,13,0
2026-06-16 19:35:00+00:00,1.16149,1.1616,1.16147,1.16156,67,13,0
2026-06-16 19:36:00+00:00,1.16154,1.16158,1.16149,1.16154,58,13,0
2026-06-16 19:37:00+00:00,1.16154,1.16157,1.1615199999999999,1.1615199999999999,36,13,0
2026-06-16 19:38:00+00:00,1.1615199999999999,1.16158,1.16147,1.16151,89,13,0
2026-06-16 19:39:00+00:00,1.16151,1.16153,1.16143,1.16147,73,13,0
2026-06-16 19:40:00+00:00,1.16148,1.16148,1.16146,1.16147,46,13,0
2026-06-16 19:41:00+00:00,1.16146,1.16147,1.1614200000000001,1.16145,79,13,0
2026-06-16 19:42:00+00:00,1.16146,1.16147,1.16141,1.16146,77,13,0
2026-06-16 19:43:00+00:00,1.16145,1.1615199999999999,1.16143,1.16143,53,13,0
2026-06-16 19:44:00+00:00,1.16143,1.16143,1.1613,1.16135,63,13,0
2026-06-16 19:45:00+00:00,1.16136,1.16138,1.1613,1.16136,64,13,0
2026-06-16 19:46:00+00:00,1.16136,1.1614200000000001,1.16135,1.1614,63,13,0
2026-06-16 19:47:00+00:00,1.16141,1.16143,1.16136,1.1614200000000001,65,13,0
2026-06-16 19:48:00+00:00,1.1614200000000001,1.1614200000000001,1.16131,1.16132,56,13,0
2026-06-16 19:49:00+00:00,1.16131,1.16133,1.1612,1.16122,77,13,0
2026-06-16 19:50:00+00:00,1.16122,1.16126,1.16113,1.16117,61,13,0
2026-06-16 19:51:00+00:00,1.16117,1.1611799999999999,1.16111,1.16114,63,13,0
2026-06-16 19:52:00+00:00,1.16114,1.16117,1.1611,1.16116,79,13,0
2026-06-16 19:53:00+00:00,1.16116,1.16127,1.16113,1.16126,66,13,0
2026-06-16 19:54:00+00:00,1.16126,1.16135,1.16126,1.16132,58,13,0
2026-06-16 19:55:00+00:00,1.16132,1.16137,1.16128,1.16136,71,13,0
2026-06-16 19:56:00+00:00,1.16136,1.16141,1.1613,1.16134,54,13,0
2026-06-16 19:57:00+00:00,1.16134,1.16136,1.16128,1.16128,69,13,0
2026-06-16 19:58:00+00:00,1.16128,1.16134,1.16127,1.16133,49,13,0
2026-06-16 19:59:00+00:00,1.16133,1.16135,1.16126,1.16126,56,13,0
2026-06-16 20:00:00+00:00,1.16127,1.16127,1.1611799999999999,1.16121,88,13,0
2026-06-16 20:01:00+00:00,1.16121,1.16127,1.16119,1.16123,85,13,0
2026-06-16 20:02:00+00:00,1.16123,1.16133,1.1612,1.16124,102,13,0
2026-06-16 20:03:00+00:00,1.16124,1.16129,1.16121,1.16121,73,13,0
2026-06-16 20:04:00+00:00,1.16121,1.16123,1.16115,1.16116,74,13,0
2026-06-16 20:05:00+00:00,1.16116,1.16116,1.16113,1.16115,49,13,0
2026-06-16 20:06:00+00:00,1.16116,1.16117,1.16107,1.16112,46,13,0
2026-06-16 20:07:00+00:00,1.16111,1.16116,1.16111,1.16115,39,13,0
2026-06-16 20:08:00+00:00,1.16114,1.16115,1.1610800000000001,1.1611,46,13,0
2026-06-16 20:09:00+00:00,1.16111,1.16122,1.16111,1.16122,47,13,0
2026-06-16 20:10:00+00:00,1.16122,1.16125,1.1611799999999999,1.16123,60,13,0
2026-06-16 20:11:00+00:00,1.16123,1.16127,1.16121,1.16125,37,13,0
2026-06-16 20:12:00+00:00,1.16125,1.16126,1.16121,1.16123,41,13,0
2026-06-16 20:13:00+00:00,1.16122,1.16123,1.16114,1.16117,51,13,0
2026-06-16 20:14:00+00:00,1.16117,1.16117,1.16112,1.16115,37,13,0
2026-06-16 20:15:00+00:00,1.16116,1.16126,1.16116,1.16116,56,13,0
2026-06-16 20:16:00+00:00,1.16117,1.16119,1.16113,1.1611799999999999,40,13,0
2026-06-16 20:17:00+00:00,1.16117,1.16123,1.16115,1.16122,44,13,0
2026-06-16 20:18:00+00:00,1.16122,1.16125,1.16121,1.16122,37,13,0
2026-06-16 20:19:00+00:00,1.16122,1.16123,1.16115,1.16117,40,13,0
2026-06-16 20:20:00+00:00,1.16116,1.16119,1.16103,1.16103,84,13,0
2026-06-16 20:21:00+00:00,1.16103,1.16111,1.16103,1.16111,53,13,0
2026-06-16 20:22:00+00:00,1.1611,1.16119,1.16109,1.16113,39,13,0
2026-06-16 20:23:00+00:00,1.16113,1.16115,1.16111,1.16115,52,13,0
2026-06-16 20:24:00+00:00,1.16113,1.16116,1.16109,1.16115,54,13,0
2026-06-16 20:25:00+00:00,1.16116,1.16117,1.1611,1.16115,51,13,0
2026-06-16 20:26:00+00:00,1.16115,1.16124,1.16115,1.1612,42,13,0
2026-06-16 20:27:00+00:00,1.16121,1.16124,1.1612,1.16123,49,13,0
2026-06-16 20:28:00+00:00,1.16122,1.16123,1.16113,1.1611799999999999,47,13,0
2026-06-16 20:29:00+00:00,1.16117,1.16123,1.16113,1.16114,66,13,0
2026-06-16 20:30:00+00:00,1.16114,1.1612,1.1611,1.16113,61,13,0
2026-06-16 20:31:00+00:00,1.16113,1.16117,1.16109,1.16117,51,13,0
2026-06-16 20:32:00+00:00,1.16117,1.1611799999999999,1.16109,1.1611,48,13,0
2026-06-16 20:33:00+00:00,1.1611,1.16114,1.1611,1.16113,43,13,0
2026-06-16 20:34:00+00:00,1.16112,1.1612,1.16112,1.16115,69,13,0
2026-06-16 20:35:00+00:00,1.16116,1.16117,1.1610800000000001,1.16117,74,13,0
2026-06-16 20:36:00+00:00,1.16117,1.16117,1.1611,1.16116,40,13,0
2026-06-16 20:37:00+00:00,1.16115,1.16115,1.16103,1.16107,44,13,0
2026-06-16 20:38:00+00:00,1.1610800000000001,1.16111,1.16105,1.16107,34,13,0
2026-06-16 20:39:00+00:00,1.1610800000000001,1.16109,1.16103,1.16107,56,13,0
2026-06-16 20:40:00+00:00,1.16106,1.1611,1.16103,1.16107,55,13,0
2026-06-16 20:41:00+00:00,1.16107,1.16113,1.16104,1.1611,53,13,0
2026-06-16 20:42:00+00:00,1.1611,1.16115,1.16109,1.16114,56,13,0
2026-06-16 20:43:00+00:00,1.16114,1.1612,1.16106,1.1612,63,13,0
2026-06-16 20:44:00+00:00,1.1612,1.16126,1.16117,1.1611799999999999,48,13,0
2026-06-16 20:45:00+00:00,1.1611799999999999,1.16122,1.16106,1.1610800000000001,62,13,0
2026-06-16 20:46:00+00:00,1.1610800000000001,1.16113,1.16107,1.1611,50,13,0
2026-06-16 20:47:00+00:00,1.16109,1.16113,1.16109,1.16112,34,13,0
2026-06-16 20:48:00+00:00,1.16112,1.1611799999999999,1.1611,1.16111,53,13,0
2026-06-16 20:49:00+00:00,1.16111,1.1611799999999999,1.16111,1.16113,65,13,0
2026-06-16 20:50:00+00:00,1.16115,1.16117,1.16109,1.16117,48,13,0
2026-06-16 20:51:00+00:00,1.16117,1.1611799999999999,1.16111,1.16112,49,13,0
2026-06-16 20:52:00+00:00,1.16112,1.16113,1.16109,1.16111,52,13,0
2026-06-16 20:53:00+00:00,1.16111,1.16117,1.16111,1.16115,36,13,0
2026-06-16 20:54:00+00:00,1.16116,1.16117,1.16111,1.16112,51,13,0
2026-06-16 20:55:00+00:00,1.16113,1.16113,1.16106,1.16107,58,13,0
2026-06-16 20:56:00+00:00,1.1610800000000001,1.16109,1.16105,1.16107,41,13,0
2026-06-16 20:57:00+00:00,1.16107,1.16107,1.16101,1.16104,67,13,0
2026-06-16 20:58:00+00:00,1.16105,1.16107,1.16103,1.16106,50,13,0
2026-06-16 20:59:00+00:00,1.16104,1.1610800000000001,1.16103,1.1610800000000001,45,13,0
